example_id                                                     | status | run_time        |
./spec/factories_spec.rb[1:2:7]                                | passed | 0.00562 seconds |
./spec/factories_spec.rb[1:2:8]                                | passed | 0.00146 seconds |
./spec/factories_spec.rb[1:3:1]                                | passed | 0.00124 seconds |
./spec/factories_spec.rb[1:3:2]                                | passed | 0.00528 seconds |
./spec/factories_spec.rb[1:3:3]                                | passed | 0.00605 seconds |
./spec/factories_spec.rb[1:3:4]                                | passed | 0.00441 seconds |
./spec/factories_spec.rb[1:3:5]                                | passed | 0.00623 seconds |
./spec/factories_spec.rb[1:3:6]                                | passed | 0.00502 seconds |
./spec/factories_spec.rb[1:3:7]                                | passed | 0.00518 seconds |
./spec/factories_spec.rb[1:3:8]                                | passed | 0.00881 seconds |
./spec/factories_spec.rb[1:3:9]                                | passed | 0.00705 seconds |
./spec/factories_spec.rb[1:3:10]                               | passed | 0.00569 seconds |
./spec/factories_spec.rb[1:3:11]                               | passed | 0.00808 seconds |
./spec/factories_spec.rb[1:4:1]                                | passed | 0.00088 seconds |
./spec/factories_spec.rb[1:4:2]                                | passed | 0.00328 seconds |
./spec/factories_spec.rb[1:4:3]                                | passed | 0.00325 seconds |
./spec/factories_spec.rb[1:4:4]                                | passed | 0.00338 seconds |
./spec/factories_spec.rb[1:4:5]                                | passed | 0.00353 seconds |
./spec/factories_spec.rb[1:4:6]                                | passed | 0.00318 seconds |
./spec/factories_spec.rb[1:4:7]                                | passed | 0.00324 seconds |
./spec/factories_spec.rb[1:4:8]                                | passed | 0.00325 seconds |
./spec/factories_spec.rb[1:5:1]                                | passed | 0.00099 seconds |
./spec/factories_spec.rb[1:5:2]                                | passed | 0.00288 seconds |
./spec/factories_spec.rb[1:5:3]                                | passed | 0.00252 seconds |
./spec/factories_spec.rb[1:5:4]                                | passed | 0.00284 seconds |
./spec/factories_spec.rb[1:5:5]                                | passed | 0.00291 seconds |
./spec/factories_spec.rb[1:5:6]                                | passed | 0.01501 seconds |
./spec/factories_spec.rb[1:5:7]                                | passed | 0.00252 seconds |
./spec/factories_spec.rb[1:5:8]                                | passed | 0.00254 seconds |
./spec/factories_spec.rb[1:5:9]                                | passed | 0.0031 seconds  |
./spec/factories_spec.rb[1:5:10]                               | passed | 0.00338 seconds |
./spec/factories_spec.rb[1:5:11]                               | passed | 0.00267 seconds |
./spec/factories_spec.rb[1:5:12]                               | passed | 0.00258 seconds |
./spec/factories_spec.rb[1:5:13]                               | passed | 0.00253 seconds |
./spec/factories_spec.rb[1:5:14]                               | passed | 0.0024 seconds  |
./spec/factories_spec.rb[1:5:15]                               | passed | 0.00126 seconds |
./spec/factories_spec.rb[1:6:1]                                | passed | 0.00037 seconds |
./spec/factories_spec.rb[1:6:2]                                | passed | 0.00128 seconds |
./spec/factories_spec.rb[1:6:3]                                | passed | 0.00143 seconds |
./spec/factories_spec.rb[1:6:4]                                | passed | 0.00154 seconds |
./spec/factories_spec.rb[1:6:5]                                | passed | 0.00166 seconds |
./spec/factories_spec.rb[1:6:6]                                | passed | 0.00145 seconds |
./spec/factories_spec.rb[1:6:7]                                | passed | 0.00156 seconds |
./spec/factories_spec.rb[1:6:8]                                | passed | 0.00354 seconds |
./spec/factories_spec.rb[1:7:1]                                | passed | 0.00053 seconds |
./spec/factories_spec.rb[1:7:2]                                | passed | 0.00096 seconds |
./spec/factories_spec.rb[1:7:3]                                | passed | 0.00105 seconds |
